"X1.Detection","X1.JC","X1.RP","X1.RedBlack"
0.767,0.415,0.365,1
0.768,0.415,0.365,1
0.769,0.415,0.365,1
0.77,0.415,0.365,1
0.771,0.415,0.365,1
0.772,0.415,0.365,1
0.773,0.415,0.365,1
0.774,0.415,0.365,1
0.775,0.415,0.365,1
0.776,0.415,0.365,1
0.777,0.415,0.365,1
0.778,0.415,0.365,1
0.779,0.415,0.365,1
0.78,0.415,0.365,1
0.781,0.415,0.365,1
0.782,0.415,0.365,1
0.783,0.415,0.365,1
0.784,0.415,0.365,1
0.785,0.415,0.365,1
0.786,0.415,0.365,1
0.787,0.415,0.365,1
0.788,0.415,0.365,1
0.789,0.415,0.365,1
0.79,0.415,0.365,1
0.791,0.415,0.365,1
0.792,0.415,0.365,1
0.793,0.415,0.365,1
0.794,0.415,0.365,1
0.795,0.415,0.365,1
0.796,0.415,0.365,1
0.797,0.415,0.365,1
0.798,0.415,0.365,1
0.799,0.415,0.365,1
0.8,0.415,0.365,1
0.801,0.415,0.365,1
0.802,0.415,0.365,1
0.803,0.415,0.365,1
0.804,0.415,0.365,1
0.805,0.415,0.365,1
0.806,0.415,0.365,1
0.807,0.415,0.365,1
0.808,0.415,0.365,1
0.809,0.415,0.365,1
0.81,0.415,0.365,1
0.811,0.415,0.365,1
0.812,0.415,0.365,1
0.813,0.415,0.365,1
0.814,0.415,0.365,1
0.815,0.415,0.365,1
0.816,0.415,0.365,1
0.817,0.415,0.365,1
0.818,0.415,0.365,1
0.819,0.415,0.365,1
0.82,0.415,0.365,1
0.821,0.415,0.365,1
0.822,0.415,0.365,1
0.823,0.415,0.365,1
0.824,0.415,0.365,1
0.825,0.415,0.365,1
0.826,0.415,0.365,1
0.827,0.415,0.365,1
0.828,0.415,0.365,1
0.829,0.415,0.365,1
0.83,0.415,0.365,1
0.831,0.415,0.365,1
0.832,0.415,0.365,1
0.833,0.415,0.365,1
0.834,0.415,0.365,1
0.835,0.415,0.365,1
0.836,0.415,0.365,1
0.837,0.415,0.365,1
0.838,0.415,0.365,1
0.839,0.415,0.365,1
0.84,0.415,0.365,1
0.841,0.415,0.365,1
0.842,0.415,0.365,1
0.843,0.415,0.365,1
0.844,0.415,0.365,1
0.845,0.415,0.365,1
0.846,0.415,0.365,1
0.847,0.415,0.365,1
0.848,0.415,0.365,1
0.849,0.415,0.365,1
0.85,0.415,0.365,1
0.851,0.415,0.365,1
0.852,0.415,0.365,1
0.853,0.415,0.365,1
0.854,0.415,0.365,1
0.855,0.415,0.365,1
0.856,0.415,0.365,1
0.857,0.415,0.365,1
0.858,0.415,0.365,1
0.859,0.415,0.365,1
0.86,0.415,0.365,1
0.861,0.415,0.365,1
0.862,0.415,0.365,1
0.863,0.415,0.365,1
0.864,0.415,0.365,1
0.865,0.415,0.365,1
0.866,0.415,0.365,1
0.867,0.415,0.365,1
0.868,0.415,0.365,1
0.869,0.415,0.365,1
0.87,0.415,0.365,1
0.871,0.415,0.365,1
0.872,0.415,0.365,1
0.873,0.415,0.365,1
0.874,0.415,0.365,1
0.875,0.415,0.365,1
0.876,0.415,0.365,1
0.877,0.415,0.365,1
0.878,0.415,0.365,1
0.879,0.415,0.365,1
0.88,0.415,0.365,1
0.881,0.415,0.365,1
0.882,0.415,0.365,1
0.883,0.415,0.365,1
0.884,0.415,0.365,1
0.885,0.415,0.365,1
0.886,0.415,0.365,1
0.887,0.415,0.365,1
0.888,0.415,0.365,1
0.889,0.415,0.365,1
0.89,0.415,0.365,1
0.891,0.415,0.365,1
0.892,0.415,0.365,1
0.893,0.415,0.365,1
0.894,0.415,0.365,1
0.895,0.415,0.365,1
0.896,0.415,0.365,1
0.897,0.415,0.365,1
0.898,0.415,0.365,1
0.899,0.415,0.365,1
0.9,0.415,0.365,1
0.901,0.415,0.365,1
0.902,0.415,0.365,1
0.903,0.415,0.365,1
0.904,0.415,0.365,1
0.905,0.415,0.365,1
0.906,0.415,0.365,1
0.907,0.415,0.365,1
0.908,0.415,0.365,1
0.909,0.415,0.365,1
0.91,0.415,0.365,1
0.911,0.415,0.365,1
0.912,0.415,0.365,1
0.913,0.415,0.365,1
0.914,0.415,0.365,1
0.915,0.415,0.365,1
0.916,0.415,0.365,1
0.917,0.415,0.365,1
0.918,0.415,0.365,1
0.919,0.415,0.365,1
0.92,0.415,0.365,1
0.921,0.415,0.365,1
0.922,0.415,0.365,1
0.923,0.415,0.365,1
0.924,0.415,0.365,1
0.925,0.415,0.365,1
0.926,0.415,0.365,1
0.927,0.415,0.365,1
0.928,0.415,0.365,1
0.929,0.415,0.365,1
0.93,0.415,0.365,1
0.931,0.415,0.365,1
0.932,0.415,0.365,1
0.933,0.415,0.365,1
0.934,0.415,0.365,1
0.935,0.415,0.365,1
0.936,0.415,0.365,1
0.937,0.415,0.365,1
0.938,0.415,0.365,1
0.939,0.415,0.365,1
0.94,0.415,0.365,1
0.941,0.415,0.365,1
0.942,0.415,0.365,1
0.943,0.415,0.365,1
0.944,0.415,0.365,1
0.945,0.415,0.365,1
0.946,0.415,0.365,1
0.947,0.415,0.365,1
0.948,0.415,0.365,1
0.949,0.415,0.365,1
0.95,0.415,0.365,1
0.951,0.415,0.365,1
0.952,0.415,0.365,1
0.953,0.415,0.365,1
0.954,0.415,0.365,1
0.955,0.415,0.365,1
0.956,0.415,0.365,1
0.957,0.415,0.365,1
0.958,0.415,0.365,1
0.959,0.415,0.365,1
0.96,0.415,0.365,1
0.961,0.415,0.365,1
0.962,0.415,0.365,1
0.963,0.415,0.365,1
0.964,0.415,0.365,1
0.965,0.415,0.365,1
0.966,0.415,0.365,1
0.967,0.415,0.365,1
0.968,0.415,0.365,1
0.969,0.415,0.365,1
0.97,0.415,0.365,1
0.971,0.415,0.365,1
0.972,0.415,0.365,1
0.973,0.415,0.365,1
0.974,0.415,0.365,1
0.975,0.415,0.365,1
0.976,0.415,0.365,1
0.977,0.415,0.365,1
0.978,0.415,0.365,1
0.979,0.415,0.365,1
0.98,0.415,0.365,1
0.981,0.415,0.365,1
0.982,0.415,0.365,1
0.983,0.415,0.365,1
0.984,0.415,0.365,1
0.985,0.415,0.365,1
0.986,0.415,0.365,1
0.987,0.415,0.365,1
0.988,0.415,0.365,1
0.989,0.415,0.365,1
0.99,0.415,0.365,1
0.991,0.415,0.365,1
0.992,0.415,0.365,1
0.993,0.415,0.365,1
0.994,0.415,0.365,1
0.995,0.415,0.365,1
0.996,0.415,0.365,1
0.997,0.415,0.365,1
0.998,0.415,0.365,1
0.999,0.415,0.365,1
1,0.415,0.365,1
