"X1.Fine","X1.JC","X1.RP","X1.RedBlack"
9.78,0.3928,0.3872,1
9.88,0.3938,0.3862,1
9.98,0.3948,0.3852,1
10.08,0.3958,0.3842,1
10.18,0.3968,0.3832,1
10.28,0.3978,0.3822,1
10.38,0.3988,0.3812,1
10.48,0.3998,0.3802,1
10.58,0.4008,0.3792,1
10.68,0.4018,0.3782,1
10.78,0.4028,0.3772,1
10.88,0.4038,0.3762,1
10.98,0.4048,0.3752,1
11.08,0.4058,0.3742,1
11.18,0.4068,0.3732,1
11.28,0.4078,0.3722,1
11.38,0.4088,0.3712,1
11.48,0.4098,0.3702,1
11.58,0.4108,0.3692,1
11.68,0.4118,0.3682,1
11.78,0.4128,0.3672,1
11.88,0.4138,0.3662,1
11.98,0.4148,0.3652,1
12.08,0.4158,0.3642,1
12.18,0.4168,0.3632,1
12.28,0.4178,0.3622,1
12.38,0.4188,0.3612,1
12.48,0.4198,0.3602,1
12.58,0.4208,0.3592,1
12.68,0.4218,0.3582,1
12.78,0.4228,0.3572,1
12.88,0.4238,0.3562,1
12.98,0.4248,0.3552,1
13.08,0.4258,0.3542,1
13.18,0.4268,0.3532,1
13.28,0.4278,0.3522,1
13.38,0.4288,0.3512,1
13.48,0.4298,0.3502,1
13.58,0.4308,0.3492,1
13.68,0.4318,0.3482,1
13.78,0.4328,0.3472,1
13.88,0.4338,0.3462,1
13.98,0.4348,0.3452,1
14.08,0.4358,0.3442,1
14.18,0.4368,0.3432,1
14.28,0.4378,0.3422,1
14.38,0.4388,0.3412,1
14.48,0.4398,0.3402,1
14.58,0.4408,0.3392,1
14.68,0.4418,0.3382,1
14.78,0.4428,0.3372,1
14.88,0.4438,0.3362,1
14.98,0.4448,0.3352,1
15.08,0.4458,0.3342,1
15.18,0.4468,0.3332,1
15.28,0.4478,0.3322,1
15.38,0.4488,0.3312,1
15.48,0.4498,0.3302,1
15.58,0.4508,0.3292,1
15.68,0.4518,0.3282,1
15.78,0.4528,0.3272,1
15.88,0.4538,0.3262,1
15.98,0.4548,0.3252,1
16.08,0.4558,0.3242,1
16.18,0.4568,0.3232,1
16.28,0.4578,0.3222,1
16.38,0.4588,0.3212,1
16.48,0.4598,0.3202,1
16.58,0.4608,0.3192,1
16.68,0.4618,0.3182,1
16.78,0.4628,0.3172,1
16.88,0.4638,0.3162,1
16.98,0.4648,0.3152,1
17.08,0.4658,0.3142,1
17.18,0.4668,0.3132,1
17.28,0.4678,0.3122,1
17.38,0.4688,0.3112,1
17.48,0.4698,0.3102,1
17.58,0.4708,0.3092,1
17.68,0.4718,0.3082,1
17.78,0.4728,0.3072,1
17.88,0.4738,0.3062,1
17.98,0.4748,0.3052,1
18.08,0.4758,0.3042,1
18.18,0.4768,0.3032,1
18.28,0.4778,0.3022,1
18.38,0.4788,0.3012,1
18.48,0.4798,0.3002,1
18.58,0.4808,0.2992,1
18.68,0.4818,0.2982,1
18.78,0.4828,0.2972,1
18.88,0.4838,0.2962,1
18.98,0.4848,0.2952,1
19.08,0.4858,0.2942,1
19.18,0.4868,0.2932,1
19.28,0.4878,0.2922,1
19.38,0.4888,0.2912,1
19.48,0.4898,0.2902,1
19.58,0.4908,0.2892,1
19.68,0.4918,0.2882,1
19.78,0.4928,0.2872,1
19.88,0.4938,0.2862,1
19.98,0.4948,0.2852,1
20.08,0.4958,0.2842,1
20.18,0.4968,0.2832,1
20.28,0.4978,0.2822,1
20.38,0.4988,0.2812,1
20.48,0.4998,0.2802,1
20.58,0.5008,0.2792,1
20.68,0.5018,0.2782,1
20.78,0.5028,0.2772,1
20.88,0.5038,0.2762,1
20.98,0.5048,0.2752,1
21.08,0.5058,0.2742,1
21.18,0.5068,0.2732,1
21.28,0.5078,0.2722,1
21.38,0.5088,0.2712,1
21.48,0.5098,0.2702,1
21.58,0.5108,0.2692,1
21.68,0.5118,0.2682,1
21.78,0.5128,0.2672,1
21.88,0.5138,0.2662,1
21.98,0.5148,0.2652,1
22.08,0.5158,0.2642,1
22.18,0.5168,0.2632,1
22.28,0.5178,0.2622,1
22.38,0.5188,0.2612,1
22.48,0.5198,0.2602,1
22.58,0.5208,0.2592,1
22.68,0.5218,0.2582,1
22.78,0.5228,0.2572,1
22.88,0.5238,0.2562,1
22.98,0.5248,0.2552,1
23.08,0.5258,0.2542,1
23.18,0.5268,0.2532,1
23.28,0.5278,0.2522,1
23.38,0.5288,0.2512,1
23.48,0.5298,0.2502,1
23.58,0.5308,0.2492,1
23.68,0.5318,0.2482,1
23.78,0.5328,0.2472,1
23.88,0.5338,0.2462,1
23.98,0.5348,0.2452,1
24.08,0.5358,0.2442,1
24.18,0.5368,0.2432,1
24.28,0.5378,0.2422,1
24.38,0.5388,0.2412,1
24.48,0.5398,0.2402,1
24.58,0.5408,0.2392,1
24.68,0.5418,0.2382,1
24.78,0.5428,0.2372,1
24.88,0.5438,0.2362,1
24.98,0.5448,0.2352,1
25.08,0.5458,0.2342,1
25.18,0.5468,0.2332,1
25.28,0.5478,0.2322,1
25.38,0.5488,0.2312,1
25.48,0.5498,0.2302,1
25.58,0.5508,0.2292,1
25.68,0.5518,0.2282,1
25.78,0.5528,0.2272,1
25.88,0.5538,0.2262,1
25.98,0.5548,0.2252,1
26.08,0.5558,0.2242,1
26.18,0.5568,0.2232,1
26.28,0.5578,0.2222,1
26.38,0.5588,0.2212,1
26.48,0.5598,0.2202,1
26.58,0.5608,0.2192,1
26.68,0.5618,0.2182,1
26.78,0.5628,0.2172,1
26.88,0.5638,0.2162,1
26.98,0.5648,0.2152,1
27.08,0.5658,0.2142,1
27.18,0.5668,0.2132,1
27.28,0.5678,0.2122,1
27.38,0.5688,0.2112,1
27.48,0.5698,0.210199999999999,1
27.58,0.5708,0.2092,1
27.68,0.5718,0.2082,1
27.78,0.5728,0.2072,1
27.88,0.5738,0.2062,1
27.98,0.5748,0.2052,1
28.08,0.5758,0.2042,1
28.18,0.5768,0.2032,1
28.28,0.5778,0.202199999999999,1
28.38,0.5788,0.2012,1
28.48,0.5798,0.2002,1
28.58,0.5808,0.1992,1
28.68,0.5818,0.198199999999999,1
28.78,0.5828,0.1972,1
28.88,0.5838,0.1962,1
28.98,0.5848,0.1952,1
29.08,0.5858,0.194199999999999,1
29.18,0.5868,0.1932,1
29.28,0.5878,0.1922,1
29.38,0.5888,0.1912,1
29.48,0.5898,0.190199999999999,1
29.58,0.5908,0.1892,1
29.68,0.5918,0.1882,1
29.78,0.5928,0.1872,1
29.88,0.5938,0.1862,1
29.98,0.5948,0.1852,1
30.08,0.5958,0.1842,1
30.18,0.5968,0.1832,1
30.28,0.5978,0.182199999999999,1
30.38,0.5988,0.1812,1
30.48,0.5998,0.1802,1
30.58,0.6008,0.1792,1
30.68,0.6018,0.178199999999999,1
30.78,0.6028,0.1772,1
30.88,0.6038,0.1762,1
30.98,0.6048,0.1752,1
31.08,0.6058,0.174199999999999,1
31.18,0.6068,0.1732,1
31.28,0.6078,0.1722,1
31.38,0.6088,0.1712,1
31.48,0.6098,0.170199999999999,1
31.58,0.6108,0.1692,1
31.68,0.6118,0.1682,1
31.78,0.6128,0.1672,1
31.88,0.6138,0.1662,1
31.98,0.6148,0.1652,1
32.08,0.6158,0.1642,1
32.18,0.6168,0.1632,1
32.28,0.6178,0.162199999999999,1
32.38,0.6188,0.1612,1
32.48,0.6198,0.1602,1
32.58,0.6208,0.1592,1
32.68,0.6218,0.158199999999999,1
32.78,0.6228,0.1572,1
32.88,0.6238,0.1562,1
32.98,0.6248,0.1552,1
33.08,0.6258,0.1542,1
33.18,0.6268,0.1532,1
33.28,0.6278,0.1522,1
33.38,0.6288,0.1512,1
33.48,0.6298,0.1502,1
33.58,0.6308,0.1492,1
33.68,0.6318,0.1482,1
33.78,0.6328,0.1472,1
33.88,0.6338,0.1462,1
33.98,0.6348,0.1452,1
34.08,0.6358,0.1442,1
34.18,0.6368,0.1432,1
34.28,0.6378,0.1422,1
34.38,0.6388,0.1412,1
34.48,0.6398,0.1402,1
34.58,0.6408,0.1392,1
34.68,0.6418,0.138199999999999,1
34.78,0.6428,0.1372,1
34.88,0.6438,0.1362,1
34.98,0.6448,0.1352,1
35.08,0.6458,0.1342,1
35.18,0.6468,0.1332,1
35.28,0.6478,0.1322,1
35.38,0.6488,0.1312,1
35.48,0.6498,0.1302,1
35.58,0.6508,0.1292,1
35.68,0.6518,0.1282,1
35.78,0.6528,0.1272,1
35.88,0.6538,0.1262,1
35.98,0.6548,0.1252,1
36.08,0.6558,0.1242,1
36.18,0.6568,0.1232,1
36.28,0.6578,0.1222,1
36.38,0.6588,0.1212,1
36.48,0.6598,0.1202,1
36.58,0.6608,0.1192,1
36.68,0.6618,0.118199999999999,1
36.78,0.6628,0.1172,1
36.88,0.6638,0.1162,1
36.98,0.6648,0.1152,1
37.08,0.6658,0.1142,1
37.18,0.6668,0.1132,1
37.28,0.6678,0.1122,1
37.38,0.6688,0.1112,1
37.48,0.6698,0.1102,1
37.58,0.6708,0.1092,1
37.68,0.6718,0.1082,1
37.78,0.6728,0.1072,1
37.88,0.6738,0.1062,1
37.98,0.6748,0.1052,1
38.08,0.6758,0.1042,1
38.18,0.6768,0.1032,1
38.28,0.6778,0.1022,1
38.38,0.6788,0.1012,1
38.48,0.6798,0.1002,1
38.58,0.6808,0.0991999999999995,1
38.68,0.6818,0.0981999999999994,1
38.78,0.6828,0.0971999999999995,1
38.88,0.6838,0.0961999999999996,1
38.98,0.6848,0.0951999999999995,1
39.08,0.6858,0.0941999999999996,1
39.18,0.6868,0.0931999999999995,1
39.28,0.6878,0.0921999999999996,1
39.38,0.6888,0.0911999999999995,1
39.48,0.6898,0.0901999999999996,1
39.58,0.6908,0.0891999999999995,1
39.68,0.6918,0.0881999999999996,1
39.78,0.6928,0.0871999999999995,1
39.88,0.6938,0.0861999999999996,1
39.98,0.6948,0.0851999999999995,1
40.08,0.6958,0.0841999999999996,1
40.18,0.6968,0.0831999999999995,1
40.28,0.6978,0.0821999999999996,1
40.38,0.6988,0.0811999999999995,1
40.48,0.6998,0.0801999999999996,1
40.58,0.7008,0.0791999999999995,1
40.68,0.7018,0.0781999999999994,1
40.78,0.7028,0.0771999999999995,1
40.88,0.7038,0.0761999999999996,1
40.98,0.7048,0.0751999999999995,1
41.08,0.7058,0.0741999999999996,1
41.18,0.7068,0.0731999999999995,1
41.28,0.7078,0.0721999999999996,1
41.38,0.7088,0.0711999999999995,1
41.48,0.7098,0.0701999999999996,1
41.58,0.7108,0.0691999999999995,1
41.68,0.7118,0.0681999999999996,1
41.78,0.7128,0.0671999999999995,1
41.88,0.7138,0.0661999999999996,1
41.98,0.7148,0.0651999999999995,1
42.08,0.7158,0.0641999999999996,1
42.18,0.7168,0.0631999999999995,1
42.28,0.7178,0.0621999999999996,1
42.38,0.7188,0.0611999999999995,1
42.48,0.7198,0.0601999999999996,1
42.58,0.7208,0.0591999999999995,1
42.68,0.7218,0.0581999999999994,1
42.78,0.7228,0.0571999999999995,1
42.88,0.7238,0.0561999999999996,1
42.98,0.7248,0.0551999999999995,1
43.08,0.7258,0.0541999999999996,1
43.18,0.7268,0.0531999999999995,1
43.28,0.7278,0.0521999999999996,1
43.38,0.7288,0.0511999999999995,1
43.48,0.7298,0.0501999999999996,1
43.58,0.7308,0.0491999999999995,1
43.68,0.7318,0.0481999999999996,1
43.78,0.7328,0.0471999999999995,1
43.88,0.7338,0.0461999999999996,1
43.98,0.7348,0.0451999999999995,1
44.08,0.7358,0.0441999999999996,1
44.18,0.7368,0.0431999999999995,1
44.28,0.7378,0.0421999999999996,1
44.38,0.7388,0.0411999999999995,1
44.48,0.7398,0.0401999999999996,1
44.58,0.7408,0.0391999999999995,1
44.68,0.7418,0.0381999999999993,1
44.78,0.7428,0.0371999999999995,1
44.88,0.7438,0.0361999999999996,1
44.98,0.7448,0.0351999999999995,1
45.08,0.7458,0.0341999999999996,1
45.18,0.7468,0.0331999999999995,1
45.28,0.7478,0.0321999999999996,1
45.38,0.7488,0.0311999999999995,1
45.48,0.7498,0.0301999999999996,1
45.58,0.7508,0.0291999999999994,1
45.68,0.7518,0.0281999999999996,1
45.78,0.7528,0.0271999999999994,1
45.88,0.7538,0.0261999999999996,1
45.98,0.7548,0.0251999999999994,1
46.08,0.7558,0.0241999999999996,1
46.18,0.7568,0.0231999999999994,1
46.28,0.7578,0.0221999999999996,1
46.38,0.7588,0.0211999999999994,1
46.48,0.7598,0.0201999999999996,1
46.58,0.7608,0.0191999999999994,1
46.68,0.7618,0.0181999999999993,1
46.78,0.7628,0.0171999999999994,1
46.88,0.7638,0.0161999999999995,1
46.98,0.7648,0.0151999999999994,1
47.08,0.7658,0.0141999999999995,1
47.18,0.7668,0.0131999999999994,1
47.28,0.7678,0.0121999999999995,1
47.38,0.7688,0.0111999999999994,1
47.48,0.7698,0.0101999999999995,1
47.58,0.7708,0.00919999999999943,1
47.68,0.7718,0.00819999999999954,1
47.78,0.7728,0.00719999999999943,1
47.88,0.7738,0.00619999999999954,1
47.98,0.7748,0.00519999999999943,1
48.08,0.7758,0.00419999999999954,1
48.18,0.7768,0.00319999999999943,1
48.28,0.7778,0.00219999999999954,1
48.38,0.7788,0.00119999999999942,1
48.48,0.7798,0.000199999999999534,1
